month,whacs_storm_count,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,month_str
2016-02-01,1671091,5.086,1.558825549940547,146.05087965715418,69279,2016-01-02
2016-03-01,1786344,7.536,1.8746781122543568,144.84719642195031,158645,2016-01-03
2016-04-01,1728715,6.576,1.606884466501835,164.5002646088638,60045,2016-01-04
2016-05-01,1786344,6.836,1.8129301770485724,153.53709654245458,167211,2016-01-05
2016-06-01,1728715,4.934,1.7554704800538314,161.8902692535183,126352,2016-01-06
2016-07-01,1786344,7.806,2.1364473071931775,160.814898382462,248469,2016-01-07
2016-08-01,1786339,5.242,1.7677315443084909,130.26211311179088,104632,2016-01-08
2016-09-01,1728720,7.142,1.8479713338122605,144.68996072796935,133592,2016-01-09
2016-10-01,1786339,5.52,1.382556889599555,143.0833329857249,29239,2016-01-10
2016-11-01,1728715,5.872,1.599470669723837,149.57020109076322,100517,2016-01-11
2016-12-01,1786339,4.868,1.6784128708569177,148.8759615774563,108941,2016-01-12
2017-01-01,1786339,7.288,1.9455115076445335,156.2241955424751,174508,2017-01-01
2017-02-01,1613467,3.738,1.4307946069376027,132.4579197454844,6252,2017-01-02
2017-03-01,1786339,4.678,1.7738597376714869,169.5823292083797,122482,2017-01-03
2017-04-01,1728715,7.072,2.0007516355363983,140.86089942528736,164583,2017-01-04
2017-05-01,1786339,7.982,1.8874359950639314,166.72829931578676,142946,2017-01-05
2017-06-01,1728715,10.798,1.883049061537651,157.90134040392914,124195,2017-01-06
2017-07-01,1786339,6.51,1.8911458585109528,140.84584982069094,171270,2017-01-07
2017-08-01,1786344,4.652,1.5699504681127177,124.43482839729329,73836,2017-01-08
2017-09-01,1728715,5.968,1.757210034973701,127.51539872533372,114137,2017-01-09
2017-10-01,1786344,5.054,1.6715931150352243,157.45466409436412,105044,2017-01-10
2017-11-01,1728715,6.736,1.4285746503831418,167.8013745210728,61430,2017-01-11
2017-12-01,1786344,7.562,1.5169355255839823,123.78548004727476,36669,2017-01-12
2018-01-01,1786339,8.202,1.4641627257295475,128.10726656508717,89007,2018-01-01
2018-02-01,1613472,8.364,1.9027426134031198,142.45369624897373,145819,2018-01-02
2018-03-01,1786339,5.646,1.8168172363209962,123.0994665356566,130798,2018-01-03
2018-04-01,1728720,5.716,2.0246495785440612,164.38143007662836,194998,2018-01-04
2018-05-01,1786339,6.91,2.030512817482388,167.68478343993326,204279,2018-01-05
2018-06-01,1728715,5.75,1.85093776662935,153.3863282227504,163609,2018-01-06
2018-07-01,1786339,5.37,1.698855369391917,139.9049216722284,124851,2018-01-07
2018-08-01,1786334,4.628,1.6193942110934731,120.16503180654207,81860,2018-01-08
2018-09-01,1728720,7.17,1.9720824832375479,142.73369695881226,190905,2018-01-09
2018-10-01,1786334,6.218,1.8010355315833078,173.20017751307884,156274,2018-01-10
2018-11-01,1728715,5.588,1.5922512835249043,139.44771443965516,58229,2018-01-11
2018-12-01,1786344,6.416,1.4983551561920652,138.3151076427512,57612,2018-01-12
2019-01-01,1786339,5.106,1.596135829948959,154.46734257590944,82368,2019-01-01
2019-02-01,1613472,5.26,1.7758980936986863,142.68185036945812,87445,2019-01-02
2019-03-01,1786339,4.688,1.490846144130887,137.36580625351232,34561,2019-01-03
2019-04-01,1728720,5.57,1.776505775862069,153.23513026819924,133996,2019-01-04
2019-05-01,1786339,7.512,1.9420972168149795,154.2444232017056,195330,2019-01-05
2019-06-01,1728720,6.97,2.0679788457854404,170.99655136494252,227251,2019-01-06
2019-07-01,1786339,7.914,2.1294423850574713,129.12803589636633,228374,2019-01-07
2019-08-01,1786344,8.632,1.9832768701334818,165.77660421301445,206051,2019-01-08
2019-09-01,1728715,6.742,1.9513922736606422,171.18301606211722,174514,2019-01-09
2019-10-01,1786344,5.982,1.7265486489618096,159.51407339173156,117171,2019-01-10
2019-11-01,1728715,4.556,1.4644122892720308,125.50816283524904,63068,2019-01-11
2019-12-01,1786339,5.46,1.6790890102950633,114.40340762541497,109007,2019-01-12
2020-01-01,1786339,7.434,1.5224699388209122,139.18006477104188,76262,2020-01-01
2020-02-01,1671091,5.982,1.9067853611046428,139.3446794227082,149194,2020-01-02
2020-03-01,1786339,6.63,1.9637270926028922,144.33255828235076,152017,2020-01-03
2020-04-01,1728715,9.95,1.768807694011578,139.02816839181267,112374,2020-01-04
2020-05-01,1786339,5.666,1.779032043891615,134.91713939759106,100931,2020-01-05
2020-06-01,1728715,4.812,2.037050003771565,150.95808438009237,205035,2020-01-06
2020-07-01,1786344,6.584,2.0131289326103077,152.9379683444568,211043,2020-01-07
2020-08-01,1786339,4.726,1.9767489571746384,144.48309939284388,167289,2020-01-08
2020-09-01,1728720,6.83,1.8304625886015327,176.06800107758622,153960,2020-01-09
2020-10-01,1786339,4.282,1.5738326769304212,156.26498412003193,56890,2020-01-10
2020-11-01,1728720,7.48,1.6134711733716476,155.2452047413793,75562,2020-01-11
2020-12-01,1786339,6.044,1.6605827110140376,147.83939724344899,85522,2020-01-12
2021-01-01,1786344,7.204,1.665084315906563,153.09574863274008,111204,2021-01-01
2021-02-01,1613467,4.394,1.5542213182471263,131.61865853345648,36766,2021-01-02
2021-03-01,1786344,4.75,1.7395176886355208,133.4764022525028,99928,2021-01-03
2021-04-01,1728715,5.256,1.6930997150383142,164.52903448275862,93610,2021-01-04
2021-05-01,1786339,6.184,1.9027940164651491,151.99903225245788,163818,2021-01-05
2021-06-01,1728715,8.808,2.0012665379945833,151.42608926266587,154510,2021-01-06
2021-07-01,1786339,6.816,2.101060068247522,125.67146905977161,220691,2021-01-07
2021-08-01,1786339,5.244,1.8432050426399702,151.7333357665925,150071,2021-01-08
2021-09-01,1728715,6.95,1.7171708475266256,154.21672232233192,118311,2021-01-09
2021-10-01,1786339,7.356,1.8723334051724139,144.634235840749,171707,2021-01-10
2021-11-01,1728710,4.632,1.3956412807007672,141.7921586352474,30358,2021-01-11
2021-12-01,1786344,4.19,1.5271579926770484,145.78276684742306,44516,2021-01-12
2022-01-01,1786339,4.536,1.646393858881737,155.1056047553112,98405,2022-01-01
2022-02-01,1613472,5.036,1.5700735837438424,143.91631811884236,48664,2022-01-02
2022-03-01,1786339,4.088,1.8168151604511984,132.86846605294107,122227,2022-01-03
2022-04-01,1728715,6.082,2.214982799329502,167.7466433189655,261704,2022-01-04
2022-05-01,1786344,7.52,1.9475738644790508,148.50711855765664,189084,2022-01-05
2022-06-01,1728715,9.732,2.0699624353448276,135.80716487068966,233094,2022-01-06
2022-07-01,1786344,6.324,2.258800178439006,159.35086067853172,312732,2022-01-07
2022-08-01,1786339,4.7,1.7615398100888144,130.26481556367932,139514,2022-01-08
2022-09-01,1728720,6.318,1.9266681704980844,141.29952502394636,182179,2022-01-09
2022-10-01,1786339,6.234,2.0166079625509825,153.92123934000742,194471,2022-01-10
2022-11-01,1728715,5.28,1.532097344931423,126.53687522075683,65787,2022-01-11
2022-12-01,1786339,4.126,1.5275837481460883,129.18754414627364,47243,2022-01-12
2023-01-01,1786339,4.174,1.6999550053010597,126.45755456035965,83207,2023-01-01
2023-02-01,1613467,5.518,1.7920891702586208,124.5549634390394,133287,2023-01-02
2023-03-01,1786339,8.3,2.1284538471788514,141.0157590364238,194110,2023-01-03
2023-04-01,1728715,6.164,1.7712366211685822,132.51798072318007,127166,2023-01-04
2023-05-01,1786339,5.33,1.949594586577679,118.22421417315536,200416,2023-01-05
2023-06-01,1728720,4.844,2.0305102514367817,116.94426125478927,256253,2023-01-06
2023-07-01,1786339,8.186,2.4149719225064885,156.47868430200222,354215,2023-01-07
2023-08-01,1786344,8.138,1.855966091954023,158.3944119623656,170754,2023-01-08
2023-09-01,1728715,5.894,1.8597152377588468,147.84627769562798,176872,2023-01-09
2023-10-01,1786344,6.314,2.120018629495736,172.3117001529477,247290,2023-01-10
2023-11-01,1728715,4.304,1.6541782745346894,149.14666981962296,56958,2023-01-11
2023-12-01,1786344,6.276,1.6190728795884317,142.22305953374118,88306,2023-01-12
