month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month,storm_type,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,whacs_storm_count
2009-01-08,1.1245147313691517,21.0,2.87,2.587142857142857,74.83333333333333,2.0,4.17256,4.13425,49.479,False,0,5.852,1.5439977915148286,121.08565423186776,67152.0,1786339.0
2009-01-09,1.0389445387662697,19.0,2.87,2.5984210526315787,143.3842105263158,,,,,False,1,5.208,1.576342212643678,140.18280256226055,82061.0,1728715.0
2009-01-10,0.6710616563298065,38.0,2.93,2.631578947368421,174.66842105263157,4.0,4.35975,4.2413875,197.888,False,1,5.968,1.9881700848164627,166.48799198183167,230413.0,1786339.0
2009-01-11,1.5856918331374854,38.0,3.01,2.6165789473684207,197.63947368421051,4.0,4.83752,4.4880275,196.7245,False,1,5.982,2.0023602155172413,180.83494324712643,205364.0,1728715.0
2009-01-12,1.992029274783766,7.0,2.86,2.605714285714285,152.78571428571428,13.0,5.5865,4.84191923076923,201.03384615384616,False,1,6.916,1.5032361236798044,150.2178584877786,68003.0,1786339.0
2010-01-01,2.5856022566995764,24.0,2.96,2.607083333333333,177.70416666666665,7.0,4.39437,4.1792042857142855,199.17442857142856,False,1,4.402,1.6796154917500927,137.50812465239156,106959.0,1786344.0
2010-01-02,1.868055944055944,17.0,2.78,2.5988235294117645,176.04117647058823,,,,,False,1,4.384,1.532201384194018,150.88761037311662,39476.0,1613467.0
2010-01-03,0.1802211874272407,25.0,2.75,2.5996,155.348,5.0,4.80555,4.38926,200.7384,False,1,6.042,2.0410456039117535,157.2398971078977,202689.0,1786344.0
2010-01-04,0.5131551204819274,39.0,2.84,2.6079487179487177,157.82307692307694,,,,,False,1,5.466,1.7829629430076628,141.32744312739464,128862.0,1728715.0
2010-01-05,-2.330974494706448,24.0,2.79,2.5795833333333333,129.59166666666667,20.0,5.551,4.9105565,142.57599499999998,True,0,6.594,1.9568261030774936,126.98431810808306,190280.0,1786344.0
2010-01-06,2.734222730241673,35.0,2.78,2.592857142857143,140.48285714285714,11.0,6.03175,4.780141818181819,197.3959090909091,False,1,5.8,1.991818232758621,145.3294185823755,185290.0,1728715.0
2010-01-07,-1.0475000000000008,62.0,2.98,2.608225806451613,155.00322580645164,6.0,4.5638,4.280925,165.85183333333333,True,1,4.854,1.925836278735632,154.32475041713013,160666.0,1786344.0
2010-01-08,-1.9823378264532423,14.0,2.93,2.643571428571428,130.68571428571428,13.0,5.36001,4.817703846153846,139.06836153846157,True,0,5.978,1.8430123645043364,140.17549577942958,166021.0,1786339.0
2010-01-09,-6.091395184135977,37.0,2.99,2.629189189189189,174.8918918918919,20.0,6.33511,4.6270105,206.7211,True,1,7.436,2.000774820402299,160.99084518678163,211348.0,1728720.0
2010-01-10,0.6354022346368717,22.0,2.82,2.588636363636364,134.9090909090909,11.0,6.01555,4.953525454545455,201.6003636363636,False,0,6.054,1.7093827771598074,151.64000162217278,107199.0,1786339.0
